Interface,time,Series,Traffic,Section
DNS,00,IN,0.001352288888888889,DNS [IN]
DNS,00,OUT,0.003702086666666666,DNS [OUT]
DHCP,00,IN,3.048844444444444E-4,DHCP [IN]
DHCP,00,OUT,0.0034992977777777777,DHCP [OUT]
Firewall,00,IN,0.004302391111111111,Firewall [IN]
Firewall,00,OUT,0.006101291111111112,Firewall [OUT]
VPN_p_gate,00,IN,0.016480562222222224,VPN_p_gate [IN]
VPN_p_gate,00,OUT,0.02108988888888889,VPN_p_gate [OUT]
SWITCH-14F24(25),00,IN,5.845955555555555E-4,SWITCH-14F24(25) [IN]
SWITCH-14F24(25),00,OUT,0.003835404444444444,SWITCH-14F24(25) [OUT]
SWITCH-15F20,00,IN,2.2757111111111107E-4,SWITCH-15F20 [IN]
SWITCH-15F20,00,OUT,0.0035009822222222225,SWITCH-15F20 [OUT]
SWITCH-12F3,00,IN,6.686206060606061E-4,SWITCH-12F3 [IN]
SWITCH-12F3,00,OUT,0.004194315151515151,SWITCH-12F3 [OUT]
SWITCH-11F18,00,IN,9.666642424242424E-4,SWITCH-11F18 [IN]
SWITCH-11F18,00,OUT,0.004477801212121211,SWITCH-11F18 [OUT]
SWITCH-10F17,00,IN,3.8119757575757573E-4,SWITCH-10F17 [IN]
SWITCH-10F17,00,OUT,0.00403643393939394,SWITCH-10F17 [OUT]
SWITCH-9F16,00,IN,4.201018181818182E-4,SWITCH-9F16 [IN]
SWITCH-9F16,00,OUT,0.0040129987878787885,SWITCH-9F16 [OUT]
SWITCH-8F13(15),00,IN,0.001346288484848485,SWITCH-8F13(15) [IN]
SWITCH-8F13(15),00,OUT,0.004279500606060606,SWITCH-8F13(15) [OUT]
SWITCH-13F23(22),00,IN,0.0010743711111111112,SWITCH-13F23(22) [IN]
SWITCH-13F23(22),00,OUT,0.00424244,SWITCH-13F23(22) [OUT]
SWITCH-12F4,00,IN,0.0032495088888888886,SWITCH-12F4 [IN]
SWITCH-12F4,00,OUT,0.008013564444444446,SWITCH-12F4 [OUT]
SWITCH-11F19,00,IN,3.844088888888889E-4,SWITCH-11F19 [IN]
SWITCH-11F19,00,OUT,0.0036824022222222224,SWITCH-11F19 [OUT]
SWITCH-8F14,00,IN,3.5274666666666667E-4,SWITCH-8F14 [IN]
SWITCH-8F14,00,OUT,0.0036557244444444443,SWITCH-8F14 [OUT]
SWITCH-7F12,00,IN,5.5E-4,SWITCH-7F12 [IN]
SWITCH-7F12,00,OUT,0.0037992688888888893,SWITCH-7F12 [OUT]
SWITCH-10F5,00,IN,1.8046888888888888E-4,SWITCH-10F5 [IN]
SWITCH-10F5,00,OUT,0.0034973822222222227,SWITCH-10F5 [OUT]
