INCOMETYPE	SALARYAMT	BONUSAMT	TOTAMT	MEDIINSURANCEAMT	EMPINSURANCEAMT	PENSIONINSURANCEAMT	INCOMETAXAMT	REGIDTAXAMT	TOTTAXAMT	TAXFREEAMT
VARCHAR	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
04-Jan	1772630	0	1772630	54300	8274	114300	8140	810	8950	120000
04-Feb	1786990	1116300	2903290	54300	13140	114300	111950	11190	123140	110000
04-Mar	1541530	0	1541530	54300	7063	114300	2210	220	2430	110000
04-Apr	1551530	1116300	2667830	140390	12088	132300	0	0	0	110000
04-May	1551530	0	1551530	60620	7108	132300	0	0	0	110000
04-Jun	1551530	1116300	2667830	60620	12088	132300	51860	5180	57040	110000
04-Jul	1682580	0	1682580	60620	7108	132300	0	0	0	110000
04-Aug	1678560	1134300	2812860	60620	12735	132300	32080	3200	35280	110000
04-Sep	1573720	0	1573720	60620	7207	132300	0	0	0	110000
04-Oct	2777960	0	2777960	60620	7563	132300	154840	15480	170320	110000
04-Nov	1573720	0	1573720	60620	7207	132300	0	0	0	110000
04-Dec	3046690	0	3046690	60620	8913	132300	24470	2440	26910	110000
가계,월동,효도	6328730	0	6328730	0	19188	0	510870	51060	561930	0
기타소득	300320	0	300320	0	0	0	0	0	0	0
년월차	3193800	0	3193800	0	14252	0	339440	33940	373380	0
전근무지	0	0	0	0	0	0	0	0	0	0
