INPUT_DATE	PYLON	PYLON1	PYLON2
2005/02/07 14:24:50	60	0	0
2005/02/07 14:25:00	100	0	0
2005/02/07 14:25:10	83	0	0
2005/02/07 14:25:20	75	0	0
2005/02/07 14:25:30	100	0	0
2005/02/07 14:25:40	100	0	0
2005/02/07 14:25:50	85	0	0
2005/02/07 14:26:00	50	0	0
2005/02/07 14:26:10	100	0	0
2005/02/07 14:26:20	100	0	0
2005/02/07 14:26:30	42	0	0
2005/02/07 14:26:40	8	0	0
2005/02/07 14:26:50	39	0	0
2005/02/07 14:27:00	8	0	0
2005/02/07 14:27:10	7	0	0
2005/02/07 14:27:20	3	0	0
2005/02/07 14:27:30	5	0	0
2005/02/07 14:27:40	46	0	0
2005/02/07 14:27:50	100	0	0
2005/02/07 14:28:00	99	0	0
2005/02/07 14:28:10	100	0	0
2005/02/07 14:28:20	3	0	0
2005/02/07 14:28:30	5	0	0
2005/02/07 14:28:40	11	0	0
2005/02/07 14:28:50	37	0	0
2005/02/07 14:29:00	7	0	0
2005/02/07 14:29:10	10	0	0
2005/02/07 14:29:20	3	0	0
2005/02/07 14:29:30	8	0	0
2005/02/07 14:29:40	7	0	0
2005/02/07 14:29:50	38	0	0
2005/02/07 14:30:00	13	0	0
2005/02/07 14:30:10	5	0	0
2005/02/07 14:30:20	2	0	0
2005/02/07 14:30:30	5	0	0
2005/02/07 14:30:40	11	0	0
2005/02/07 14:30:50	35	0	0
2005/02/07 14:31:00	51	0	0
2005/02/07 14:31:10	19	0	0
2005/02/07 14:31:20	3	0	0
2005/02/07 14:31:30	5	0	0
2005/02/07 14:31:40	12	0	0
2005/02/07 14:31:50	40	0	0
2005/02/07 14:32:00	16	0	0
2005/02/07 14:32:10	12	0	0
2005/02/07 14:32:20	3	0	0
2005/02/07 14:32:30	6	0	0
2005/02/07 14:32:40	79	0	0
2005/02/07 14:32:50	70	0	0
2005/02/07 14:33:00	33	0	0
2005/02/07 14:33:10	94	0	0
2005/02/07 14:33:20	2	0	0
2005/02/07 14:33:30	87	0	0
2005/02/07 14:33:40	31	0	0
2005/02/07 14:33:50	61	0	0
2005/02/07 14:34:00	75	0	0
2005/02/07 14:34:11	27	0	0
2005/02/07 14:34:20	96	0	0
2005/02/07 14:34:30	4	0	0
2005/02/07 14:34:40	96	0	0
2005/02/07 14:34:50	46	0	0
2005/02/07 14:35:00	74	0	0
2005/02/07 14:35:10	51	0	0
2005/02/07 14:35:20	31	0	0
2005/02/07 14:35:30	79	0	0
2005/02/07 14:35:40	23	0	0
2005/02/07 14:35:50	100	0	0
2005/02/07 14:36:00	66	0	0
2005/02/07 14:36:10	81	0	0
2005/02/07 14:36:20	39	0	0
2005/02/07 14:36:30	54	0	0
2005/02/07 14:36:40	63	0	0
2005/02/07 14:36:50	70	0	0
2005/02/07 14:37:00	96	0	0
2005/02/07 14:37:10	11	0	0
2005/02/07 14:37:20	7	0	0
2005/02/07 14:37:30	14	0	0
2005/02/07 14:37:40	11	0	0
2005/02/07 14:37:50	58	0	0
2005/02/07 14:38:00	5	0	0
2005/02/07 14:38:10	16	0	0
2005/02/07 14:38:20	29	0	0
2005/02/07 14:38:30	45	0	0
2005/02/07 14:38:40	22	0	0
2005/02/07 14:38:50	99	0	0
2005/02/07 14:39:00	97	0	0
2005/02/07 14:39:10	76	0	0
2005/02/07 14:39:20	79	0	0
2005/02/07 14:39:30	37	0	0
2005/02/07 14:39:40	12	0	0
2005/02/07 14:39:50	44	0	0
2005/02/07 14:40:00	9	0	0
2005/02/07 14:40:10	8	0	0
2005/02/07 14:40:20	2	0	0
2005/02/07 14:40:30	5	0	0
2005/02/07 14:40:40	11	0	0
2005/02/07 14:40:50	28	0	0
2005/02/07 14:41:00	67	0	0
2005/02/07 14:41:10	7	0	0
2005/02/07 14:41:20	2	0	0
2005/02/07 14:41:30	5	0	0
2005/02/07 14:41:40	11	0	0
2005/02/07 14:41:50	42	0	0
2005/02/07 14:42:00	7	0	0
2005/02/07 14:42:10	11	0	0
2005/02/07 14:42:20	2	0	0
2005/02/07 14:42:30	6	0	0
2005/02/07 14:42:40	47	0	0
2005/02/07 14:42:50	100	0	0
2005/02/07 14:43:00	98	0	0
2005/02/07 14:43:10	100	0	0
2005/02/07 14:43:20	20	0	0
2005/02/07 14:43:30	9	0	0
2005/02/07 14:43:40	7	0	0
2005/02/07 14:43:50	40	0	0
2005/02/07 14:44:00	16	0	0
2005/02/07 14:44:10	6	0	0
2005/02/07 14:44:20	2	0	0
2005/02/07 14:44:30	4	0	0
2005/02/07 14:44:40	13	0	0
2005/02/07 14:44:50	44	0	0
2005/02/07 14:45:00	17	0	0
2005/02/07 14:45:10	6	0	0
2005/02/07 14:45:20	8	0	0
2005/02/07 14:45:30	4	0	0
2005/02/07 14:45:40	13	0	0
2005/02/07 14:45:50	42	0	0
2005/02/07 14:46:00	51	0	0
2005/02/07 14:46:10	26	0	0
2005/02/07 14:46:20	3	0	0
2005/02/07 14:46:30	6	0	0
2005/02/07 14:46:40	11	0	0
2005/02/07 14:46:50	49	0	0
2005/02/07 14:47:00	17	0	0
2005/02/07 14:47:10	11	0	0
2005/02/07 14:47:20	3	0	0
2005/02/07 14:47:30	5	0	0
2005/02/07 14:47:40	11	0	0
2005/02/07 14:47:50	37	0	0
2005/02/07 14:48:00	19	0	0
2005/02/07 14:48:10	10	0	0
2005/02/07 14:48:20	2	0	0
2005/02/07 14:48:30	10	0	0
2005/02/07 14:48:40	7	0	0
2005/02/07 14:48:50	34	0	0
2005/02/07 14:49:00	18	0	0
2005/02/07 14:49:10	11	0	0
2005/02/07 14:49:20	3	0	0
2005/02/07 14:49:30	9	0	0
2005/02/07 14:49:40	8	0	0
2005/02/07 14:49:50	37	0	0
2005/02/07 14:50:00	16	0	0
2005/02/07 14:50:10	8	0	0
2005/02/07 14:50:20	2	0	0
2005/02/07 14:50:30	10	0	0
2005/02/07 14:50:40	6	0	0
2005/02/07 14:50:50	47	0	0
2005/02/07 14:51:00	49	0	0
2005/02/07 14:51:10	25	0	0
2005/02/07 14:51:20	2	0	0
2005/02/07 14:51:30	8	0	0
2005/02/07 14:51:40	9	0	0
2005/02/07 14:51:50	44	0	0
2005/02/07 14:52:00	10	0	0
2005/02/07 14:52:10	12	0	0
2005/02/07 14:52:20	2	0	0
2005/02/07 14:52:30	5	0	0
2005/02/07 14:52:40	10	0	0
2005/02/07 14:52:50	35	0	0
2005/02/07 14:53:00	17	0	0
2005/02/07 14:53:10	7	0	0
2005/02/07 14:53:20	2	0	0
2005/02/07 14:53:30	10	0	0
2005/02/07 14:53:40	6	0	0
2005/02/07 14:53:50	46	0	0
2005/02/07 14:54:00	23	0	0
2005/02/07 14:54:10	2	0	0
2005/02/07 14:54:20	4	0	0
